Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,caio_M,caio_P,caio_N,caio_WKND,caio_totH,caio_avgH,genoveffa_M,genoveffa_P,genoveffa_N,genoveffa_WKND,genoveffa_totH,genoveffa_avgH,pallo_M,pallo_P,pallo_N,pallo_WKND,pallo_totH,pallo_avgH,pinco_M,pinco_P,pinco_N,pinco_WKND,pinco_totH,pinco_avgH,sempronio_M,sempronio_P,sempronio_N,sempronio_WKND,sempronio_totH,sempronio_avgH,tizio_M,tizio_P,tizio_N,tizio_WKND,tizio_totH,tizio_avgH
36,36,6,9,1,1,24,11.0,*,,,,*,*,,,,14,4,1,2,144,33.3,14,2,2,0,144,33.3,9,1,0,2,150,34.6,8,4,2,0,126,29.1,15,4,0,2,138,31.9,14,4,0,2,144,33.3
37,39,6,9,1,1,24,11.0,*,,,,*,*,,,,15,4,0,2,138,31.9,13,4,2,1,150,34.6,9,1,0,2,150,34.6,11,2,1,0,132,30.5,13,4,1,2,150,34.6,13,4,1,1,126,29.1
38,86,6,9,1,1,24,11.0,*,,,,*,*,,,,16,2,1,2,144,33.3,13,4,1,1,126,29.1,9,2,0,2,150,34.6,10,3,2,0,144,33.3,14,5,0,2,138,31.9,14,3,1,1,150,34.6
39,6,6,9,1,1,24,12.0,*,,,,*,*,,,,14,4,1,2,144,33.3,14,4,0,1,132,30.5,9,2,0,1,138,31.9,11,1,2,0,138,31.9,15,3,1,2,156,36.0,12,5,1,2,138,31.9
40,32,6,9,1,1,24,12.0,*,,,,*,*,,,,16,3,0,2,138,31.9,15,2,1,0,138,31.9,8,2,0,2,150,34.6,9,3,1,0,126,29.1,13,6,1,2,150,34.6,13,3,2,2,144,33.3
41,44,6,9,1,1,24,12.0,*,,,,*,*,,,,15,4,1,0,138,31.9,14,2,2,1,156,36.0,9,1,0,2,138,31.9,10,3,0,1,132,30.5,14,5,0,2,138,31.9,12,4,2,2,144,33.3
42,58,6,9,1,1,24,12.0,*,,,,*,*,,,,14,4,1,2,156,36.0,15,3,0,0,132,30.5,9,1,0,2,138,31.9,8,3,2,1,132,30.5,15,3,1,1,144,33.3,12,5,1,2,138,31.9
43,82,6,9,1,1,24,12.0,*,,,,*,*,,,,15,3,1,1,156,36.0,13,5,0,2,132,30.5,9,1,0,2,138,31.9,10,3,2,0,144,33.3,15,4,0,1,138,31.9,13,3,2,2,144,33.3
44,68,6,9,1,1,30,10.0,*,,,,*,*,,,,12,5,1,2,138,31.9,15,3,0,1,132,30.5,8,1,1,1,144,33.3,8,4,1,1,126,29.1,15,3,0,2,156,36.0,14,3,2,1,138,31.9
45,83,6,9,1,1,30,10.0,*,,,,*,*,,,,14,5,0,2,138,31.9,13,3,2,1,144,33.3,8,1,1,2,156,36.0,10,3,0,1,132,30.5,15,3,1,1,144,33.3,13,4,1,1,126,29.1
