Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,1_M,1_P,1_N,1_WKND,1_totH,1_avgH,2_M,2_P,2_N,2_WKND,2_totH,2_avgH,3_M,3_P,3_N,3_WKND,3_totH,3_avgH,4_M,4_P,4_N,4_WKND,4_totH,4_avgH,5_M,5_P,5_N,5_WKND,5_totH,5_avgH,6_M,6_P,6_N,6_WKND,6_totH,6_avgH
39,7,6,9,1,1,30,10.0,*,,,,*,*,,,,11,2,0,1,144,33.3,9,1,0,1,126,29.1,14,3,1,1,138,31.9,12,5,2,2,150,34.6,14,5,0,1,126,29.1,13,3,2,2,156,36.0
40,26,6,9,1,1,30,10.0,*,,,,*,*,,,,9,3,2,0,126,29.1,8,2,1,1,156,36.0,14,3,1,2,150,34.6,14,4,1,2,144,33.3,15,4,0,1,126,29.1,15,3,0,2,144,33.3
41,52,6,9,1,1,30,10.0,*,,,,*,*,,,,9,3,2,0,126,29.1,9,2,0,2,150,34.6,14,4,0,2,132,30.5,15,3,1,2,144,33.3,13,3,1,2,156,36.0,13,4,1,0,126,29.1
42,75,6,9,1,1,30,10.0,*,,,,*,*,,,,9,3,2,0,126,29.1,8,2,0,2,156,36.0,13,4,1,2,138,31.9,16,3,0,1,138,31.9,13,4,1,1,138,31.9,14,3,1,2,138,31.9
43,12,6,9,1,1,30,11.0,*,,,,*,*,,,,10,3,0,1,132,30.5,8,2,1,2,156,36.0,13,3,2,1,144,33.3,16,3,0,2,138,31.9,16,3,0,2,150,34.6,12,5,2,0,126,29.1
44,37,6,9,1,1,30,11.0,*,,,,*,*,,,,10,3,0,0,120,27.7,8,1,1,1,132,30.5,14,3,1,2,150,34.6,13,4,1,2,150,34.6,15,4,0,2,150,34.6,13,4,2,1,138,31.9
45,45,6,9,1,1,30,11.0,*,,,,*,*,,,,9,3,2,0,126,29.1,9,1,0,1,126,29.1,14,4,0,2,144,33.3,14,4,1,2,144,33.3,13,3,1,2,156,36.0,13,4,1,1,138,31.9
46,1,6,9,1,1,30,12.0,*,,,,*,*,,,,10,2,1,0,126,29.1,8,1,2,0,132,30.5,14,4,0,2,144,33.3,12,5,1,2,138,31.9,15,3,0,2,156,36.0,13,4,1,2,138,31.9
47,30,6,9,1,1,30,12.0,*,,,,*,*,,,,9,3,2,0,126,29.1,9,1,0,2,150,34.6,12,4,2,1,132,30.5,14,5,0,2,138,31.9,15,3,0,2,156,36.0,14,3,1,1,138,31.9
48,67,6,9,1,1,30,12.0,*,,,,*,*,,,,9,3,2,0,126,29.1,9,1,0,2,138,31.9,13,3,1,2,156,36.0,14,5,0,1,138,31.9,14,3,1,2,150,34.6,13,4,1,1,126,29.1
49,77,6,9,1,1,30,12.0,*,,,,*,*,,,,11,2,1,0,144,33.3,8,1,1,2,156,36.0,15,3,0,2,144,33.3,14,4,1,2,144,33.3,15,4,0,2,138,31.9,12,5,2,0,126,29.1
50,90,6,9,1,1,30,14.0,*,,,,*,*,,,,11,3,0,0,126,29.1,9,2,0,2,150,34.6,14,4,1,2,144,33.3,15,1,1,2,156,36.0,14,5,0,1,126,29.1,11,4,3,1,138,31.9
51,88,6,9,1,1,30,15.0,*,,,,*,*,,,,11,2,1,0,132,30.5,9,1,0,2,150,34.6,13,3,3,1,144,33.3,13,6,0,1,126,29.1,15,3,0,2,156,36.0,13,4,1,2,138,31.9
52,36,6,9,1,1,36,10.0,*,,,,*,*,,,,11,2,0,1,120,27.7,8,1,1,1,144,33.3,13,5,0,1,120,27.7,14,4,1,2,156,36.0,15,3,1,1,144,33.3,12,4,2,2,156,36.0
53,72,6,9,1,1,36,10.0,*,,,,*,*,,,,11,3,0,1,138,31.9,8,2,1,1,132,30.5,14,4,0,2,132,30.5,15,3,1,2,156,36.0,13,3,1,2,156,36.0,12,4,2,0,120,27.7
54,50,6,9,1,1,36,11.0,*,,,,*,*,,,,9,4,0,1,120,27.7,9,1,1,1,138,31.9,14,3,1,2,150,34.6,15,3,0,2,156,36.0,14,4,1,2,144,33.3,12,4,2,0,132,30.5
55,57,6,9,1,1,36,11.0,*,,,,*,*,,,,8,3,2,0,120,27.7,9,2,0,2,150,34.6,14,3,1,1,138,31.9,16,3,0,2,150,34.6,15,3,1,2,156,36.0,13,5,1,1,132,30.5
56,3,6,9,1,1,36,12.0,*,,,,*,*,,,,11,2,1,1,144,33.3,9,1,0,1,150,34.6,12,4,3,2,156,36.0,15,4,0,1,126,29.1,15,3,1,2,156,36.0,13,5,0,1,120,27.7
57,46,6,9,1,1,36,12.0,*,,,,*,*,,,,11,3,0,0,126,29.1,9,1,0,2,150,34.6,15,2,1,2,150,34.6,13,5,1,2,156,36.0,15,4,1,2,150,34.6,12,4,2,0,120,27.7
58,65,6,9,1,1,36,12.0,*,,,,*,*,,,,11,2,0,1,144,33.3,9,1,0,2,150,34.6,14,4,0,2,144,33.3,15,3,2,2,156,36.0,12,4,2,0,120,27.7,12,5,1,1,126,29.1
59,97,6,9,1,1,36,13.0,*,,,,*,*,,,,10,3,0,0,120,27.7,8,1,2,1,144,33.3,14,4,0,1,132,30.5,15,4,0,2,138,31.9,15,4,0,2,150,34.6,11,3,3,2,156,36.0
60,8,6,9,1,1,42,10.0,*,,,,*,*,,,,9,3,1,0,114,26.3,8,2,1,1,144,33.3,13,4,1,2,138,31.9,15,3,0,2,156,36.0,15,4,0,2,138,31.9,14,3,2,1,150,34.6
61,13,6,9,1,1,42,11.0,*,,,,*,*,,,,8,4,1,0,114,26.3,9,1,0,2,150,34.6,13,3,2,2,156,36.0,15,3,1,1,144,33.3,15,4,1,1,150,34.6,14,4,0,2,132,30.5
62,34,6,9,1,1,42,11.0,*,,,,*,*,,,,11,2,0,1,144,33.3,9,2,1,1,138,31.9,13,4,1,2,138,31.9,14,2,2,2,156,36.0,15,4,0,2,150,34.6,12,5,1,0,114,26.3
63,35,6,9,1,1,42,11.0,*,,,,*,*,,,,8,4,1,0,114,26.3,6,1,1,2,156,36.0,13,4,2,2,150,34.6,16,3,0,2,150,34.6,13,4,1,1,126,29.1,15,3,0,1,132,30.5
64,42,6,9,1,1,42,11.0,*,,,,*,*,,,,11,2,0,1,132,30.5,9,2,0,2,150,34.6,12,5,1,0,114,26.3,14,4,2,1,144,33.3,16,3,0,2,150,34.6,13,3,2,2,156,36.0
65,53,6,9,1,1,42,11.0,*,,,,*,*,,,,10,2,1,1,138,31.9,9,2,0,0,114,26.3,14,4,0,2,144,33.3,14,4,2,2,156,36.0,16,2,0,2,156,36.0,11,5,2,1,132,30.5
66,68,6,9,1,1,42,11.0,*,,,,*,*,,,,10,2,1,0,114,26.3,8,3,0,0,114,26.3,12,2,2,2,156,36.0,14,5,1,2,150,34.6,14,4,1,2,156,36.0,15,3,0,2,144,33.3
67,85,6,9,1,1,42,11.0,*,,,,*,*,,,,8,4,1,0,114,26.3,8,1,1,2,156,36.0,12,4,2,2,144,33.3,15,4,0,2,138,31.9,15,3,0,2,156,36.0,15,3,1,0,132,30.5
68,4,6,9,1,1,42,12.0,*,,,,*,*,,,,10,4,0,0,114,26.3,9,1,0,2,138,31.9,15,3,0,2,156,36.0,13,3,2,2,156,36.0,13,5,2,0,132,30.5,14,3,1,2,150,34.6
69,18,6,9,1,1,42,12.0,*,,,,*,*,,,,10,3,2,0,144,33.3,8,1,1,2,156,36.0,15,3,0,2,144,33.3,14,3,1,2,150,34.6,15,4,0,2,138,31.9,12,5,1,0,114,26.3
70,19,6,9,1,1,42,12.0,*,,,,*,*,,,,9,3,1,0,114,26.3,9,1,0,1,138,31.9,15,3,0,2,156,36.0,16,3,1,2,150,34.6,11,5,2,2,144,33.3,13,4,1,1,138,31.9
71,89,6,9,1,1,48,11.0,*,,,,*,*,,,,9,4,0,0,108,24.9,8,1,1,1,132,30.5,13,4,1,2,138,31.9,15,3,1,2,156,36.0,15,4,0,2,150,34.6,13,3,2,1,156,36.0
72,92,6,9,1,1,48,11.0,*,,,,*,*,,,,9,3,1,1,138,31.9,9,2,0,1,138,31.9,12,4,2,2,144,33.3,16,2,1,2,156,36.0,15,3,1,2,156,36.0,13,5,0,0,108,24.9
73,2,7,9,2,2,30,10.0,*,,,,*,,,,,10,3,0,0,120,27.7,9,1,1,1,150,34.6,13,4,1,2,138,31.9,13,5,1,2,144,33.3,15,2,1,2,150,34.6,13,4,1,1,138,31.9
74,17,7,9,2,2,30,10.0,*,,,,*,,,,,10,2,1,0,126,29.1,8,1,1,1,144,33.3,15,3,0,2,144,33.3,14,3,1,2,150,34.6,13,5,1,2,144,33.3,13,5,1,0,120,27.7
75,20,7,9,2,2,36,10.0,*,,,,*,,,,,12,1,0,0,120,27.7,8,1,1,1,144,33.3,13,4,1,2,138,31.9,14,4,1,2,156,36.0,13,4,1,2,150,34.6,12,5,1,1,126,29.1
76,87,7,9,2,2,36,10.0,*,,,,*,,,,,9,4,1,0,120,27.7,8,2,1,2,144,33.3,15,3,0,1,144,33.3,12,5,1,1,126,29.1,14,4,1,2,144,33.3,15,1,1,2,156,36.0
77,28,7,9,2,2,42,10.0,*,,,,*,,,,,9,3,1,0,114,26.3,8,1,1,2,156,36.0,14,4,0,0,120,27.7,15,3,1,2,156,36.0,14,3,1,2,150,34.6,12,5,1,2,138,31.9
78,80,6,9,2,2,12,9.0,*,,,,*,*,,,,10,3,1,1,144,33.3,8,1,2,1,144,33.3,14,4,0,2,144,33.3,13,3,2,1,144,33.3,15,4,0,1,138,31.9,14,4,0,2,132,30.5
